19.0  40.
18.8  44.
19.0  42.
19.2  44.
22.3  41.
20.7  45.
20.8  40.
20.6  45.
19.5  41.
20.5  40.
21.1  39.
20.8  43.
20.3  41.
21.9  45.
22.2  42.
21.6  41.
22.5  45.
23.3  48.
21.1  42.
23.2  44.
22.4  42.
24.2  44.
25.8  41.
24.8  40. 
28.2  40.
28.3  41.
27.9  39.
27.4  43.
28.6  44.
29.   41.
29.4  45.
30.0  37.
30.9  38.
27.6  47.
27.6  47.
27.7  43.
26.0  37.
27.5  39.
24.9  42.
22.8  36.
23.3  40.
23.0  44.
23.6  41.
21.6  44.
22.1  41.
20.7  40.
20.1  44.
19.3  38.
17.3  39.
20.3  38.
20.3  38.
21.2  37.
19.0  40.
18.8  44.
18.7  40.
20.1  43.
20.1  37.
22.8  45.
18.5  42.
19.4  39.
20.3  43.
20.1  41.
22.3  36.
20.7  38.
23.0  41.
21.6  41.
20.6  40.
21.8  39.
21.2  36.
22.0  40.
23.9  40.
22.4  42.
23.4  43.
27.3  40.
25.8  41.
24.8  40. 
28.2  40.
28.3  41.
28.5  42.
28.8  40. 
29.9  37.
28.8  36.
30.4  37.
30.4  39.
28.6  35.
27.0  34.
25.2  41.
24.4  41.
26.7  39. 
25.1  51.
25.2  45.
23.7  41.
21.4  42.
21.8  45.
22.8  44.
22.0  40.
21.5  42.
23.4  46.
21.3  39.
20.8  43.
20.6  41. 
20.3  42.
21.2  39.
22.7  39.
